userId,movieId,rating,timestamp
1,1,4.0,1225734739
1,110,4.0,1225865086
1,158,4.0,1225733503
1,260,4.5,1225735204
1,356,5.0,1225735119
1,381,3.5,1225734105
1,596,4.0,1225733524
1,1036,5.0,1225735626
1,1049,3.0,1225734079
1,1066,4.0,1225736961
1,1196,3.5,1225735441
1,1200,3.5,1225735861
1,1210,4.5,1225735210
1,1214,4.0,1225736426
1,1291,5.0,1225734809
1,1293,2.0,1225733842
1,1376,3.0,1225733539
1,1396,3.0,1225733534
1,1537,4.0,1225736687
1,1909,3.0,1225733717
1,1959,4.0,1225734190
1,1960,4.0,1225733965
1,2028,5.0,1225735007
1,2085,3.5,1225733974
1,2116,4.0,1225734179
1,2336,3.5,1225733831
1,2571,2.5,1225736197
1,2671,4.0,1225737459
1,2762,5.0,1225735017
1,2804,3.0,1225735064
1,2908,4.0,1225735872
1,3363,3.0,1225733955
1,3578,5.0,1225735309
1,4246,4.0,1225737285
1,4306,4.0,1225735196
1,4699,3.5,1225737315
1,4886,5.0,1225734829
1,4896,4.0,1225733516
1,4993,4.0,1225735139
1,4995,5.0,1225734583
1,5952,4.5,1225735159
1,6539,4.0,1225735722
1,7064,3.5,1225736442
1,7122,4.0,1225736170
1,7139,3.0,1225734788
1,7153,5.0,1225735149
1,7162,4.0,1225737335
1,7366,3.5,1225737488
1,7706,3.5,1225735053
1,8132,5.0,1225865124
